Genus,Ara,Ara/Xyl,Ara/Gal/GlcA/Man/Xyl,Fuc,Fuc/GlcA/Xyl,Gal,Gal/GlcA,Gal/Man/Xyl,Gal/GlcA/Fuc/Man/Xyl,GlcA,Man,n
Acidovorax,0,2,0,0,0,2,0,0,0,0,1,2
Acinetobacter,0,11,0,0,0,0,0,0,0,0,0,11
Agrobacterium,1,11,0,0,0,11,11,11,11,0,6,11
Atlantibacter,3,3,3,0,0,0,3,3,3,0,1,3
Bacillus,0,1,0,0,0,0,0,0,0,0,0,1
Citrobacter,8,10,10,0,0,0,10,10,10,0,10,10
Curtobacterium,3,3,3,1,0,3,1,1,3,0,3,3
Enterobacter,21,54,54,0,0,53,54,54,54,0,46,54
Erwinia,0,4,4,0,0,0,4,4,4,0,4,4
Escherichia,0,1,1,0,0,0,1,1,1,0,1,1
Hafnia,1,3,3,0,0,0,3,3,3,0,0,3
Herbaspirillum,0,1,0,0,0,1,0,1,0,0,0,1
Klebsiella,26,26,26,0,0,26,26,26,26,0,26,26
Kosakonia,0,9,9,0,0,9,9,9,9,0,0,9
Lactococcus,0,23,18,7,0,0,0,5,23,14,23,23
Leifsonia,1,1,0,1,0,1,0,1,1,0,0,1
Lelliottia,0,23,23,0,0,23,23,23,23,0,3,23
Metakosakonia,26,26,26,4,0,26,26,26,26,0,24,26
Microbacterium,1,1,0,0,1,1,0,1,1,0,1,1
Micrococcus,0,0,0,0,0,0,0,0,0,0,0,2
Morganella,0,1,1,0,0,0,0,0,0,0,0,1
Pantoea,5,14,14,0,0,0,14,13,14,0,5,14
Pseudomonas,0,33,0,0,0,1,0,0,0,0,5,33
Rahnella,72,72,72,0,0,72,72,72,72,0,72,72
Raoultella,52,70,70,0,0,70,70,70,70,0,56,70
Rhodococcus,0,1,0,0,0,0,0,0,1,0,1,1
Serratia,0,17,17,0,0,6,17,17,17,0,15,17
Staphylococcus,0,0,0,0,0,0,0,0,1,0,0,1
Stenotrophomonas,0,15,0,0,0,15,0,0,0,12,15,15
unassigned,7,53,47,0,0,46,48,50,51,1,48,53
Total,227,489,401,13,1,366,392,401,424,27,366,492
