Genus,Arabinose,Fucose,Galactose,Glucuronate,Mannose,Xylose,n
Acidovorax,2,2,0,0,1,2,2
Acinetobacter,5,0,0,0,0,5,11
Agrobacterium,8,11,11,0,11,11,11
Atlantibacter,3,1,3,3,3,3,3
Bacillus,0,0,0,0,1,0,1
Citrobacter,10,10,10,10,10,10,10
Curtobacterium,0,3,0,0,3,3,3
Enterobacter,54,54,54,54,54,54,54
Erwinia,4,4,4,4,4,0,4
Escherichia,1,1,1,1,1,1,1
Hafnia,3,3,3,3,3,3,3
Herbaspirillum,1,1,0,1,1,1,1
Klebsiella,26,26,26,26,26,26,26
Kosakonia,9,9,9,9,9,9,9
Lactococcus,15,0,23,23,23,23,23
Leifsonia,1,1,0,0,0,1,1
Lelliottia,23,23,23,23,23,23,23
Metakosakonia,26,26,26,26,26,26,26
Microbacterium,1,1,0,0,1,0,1
Micrococcus,0,0,0,0,1,2,2
Morganella,1,0,1,1,1,0,1
Pantoea,14,14,14,13,14,14,14
Pseudomonas,32,4,11,33,17,18,33
Rahnella,72,72,72,72,72,72,72
Raoultella,70,70,70,70,70,70,70
Rhodococcus,0,0,0,0,1,0,1
Serratia,17,17,17,17,17,12,17
Staphylococcus,0,0,0,0,1,0,1
Stenotrophomonas,0,0,15,0,5,0,15
unassigned,52,50,51,49,51,53,53
Total,450,403,444,438,450,442,492
